path_index,interaction_chain,a_real,a_imag,a_abs,phase_deg,path_gain_db,delay_us,path_length_m,excess_delay_us,aod_theta_deg,aod_phi_deg,aoa_theta_deg,aoa_phi_deg,doppler_hz
10,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,-1.2006140650555608e-06,-6.272401833484764e-07,1.3545864242698833e-06,-152.41595637607617,-117.36386562455951,0.33596953130654583,100.72113160349733,0.0024054429559328128,97.65328411099081,-15.245508152034551,91.25162100950466,-177.54967464421426,0.0
11,PHAN_XA_GUONG -> PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,-3.6275000070418173e-07,3.1625458518647065e-07,4.812530786003872e-07,138.91726218023595,-126.35252958541395,0.5313514179761114,159.29514765684382,0.1977873296254984,116.21061438778115,-151.9265478219916,78.72243127905999,-161.21432101764498,0.0
12,KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,-8.175121911335737e-05,-0.00014129634655546397,0.00016324190447443922,-120.05280924716642,-75.74336694277378,0.333564088350613,99.99999794715944,0.0,90.00000250447816,1.0179886868991745e-06,90.00000250447816,180.00000500895632,0.0
13,NHIEU_XA,-7.505648682126775e-05,-5.3826584917260334e-05,9.236220795220401e-05,-144.35388896092954,-80.69011387326158,0.3978429674589279,119.270321112526,0.06427887910831487,89.99998884409983,-33.33379226304719,89.99998884409983,-147.28111760141246,0.0
14,NHIEU_XA,-1.4678447769256309e-05,5.416693966253661e-06,1.5646002762329884e-05,159.7447479337362,-96.11193194829033,0.4096256986940716,122.80269507146312,0.0760616103434586,89.99998201391065,-50.90562528034764,89.99998884409983,-155.72954251034133,0.0
15,NHIEU_XA,-4.575905404635705e-05,3.312734770588577e-05,5.649170021555451e-05,144.09727504227098,-84.96030708444795,0.3368545833382086,100.9864635275274,0.0032904949875955936,90.00000250447816,-1.1642330647853534,89.99996152334315,-128.4265853032674,0.0
16,PHAN_XA_GUONG -> NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN,3.5137385566486046e-05,-8.749772678129375e-05,9.428938464292697e-05,-68.12056493634252,-80.51074397144738,0.3338844294376031,100.09603378902659,0.00032034108699008357,92.29036983885854,-0.5550839776790886,92.29026055583182,-178.09819347607964,0.0
17,PHAN_XA_GUONG -> NHIEU_XA,3.402478250791319e-05,-2.5522882424411364e-05,4.2533555599798164e-05,-36.87452677235299,-87.42536621695041,0.3371187631273642,101.06566263587229,0.003554674776751199,92.26843810143363,-1.1642389344791715,92.26828783727188,-128.4265853032674,0.0
18,NHIEU_XA,-8.754072950978298e-06,6.658440270257415e-06,1.0998573546766667e-05,142.74299827298836,-99.17327273490655,0.40326392536371714,120.8954834075173,0.06969983701310412,89.99998201391065,-45.07676233322627,89.99998884409983,-154.31882157878854,0.0
19,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN,-1.4971043128753081e-05,7.51991246943362e-05,7.667490128560526e-05,101.25953295473846,-82.30693548947087,0.3336177201163082,100.01607634602408,5.363176569517236e-05,90.00000250447816,-0.5550800823368275,90.00000250447816,-178.09819347607964,0.0
20,PHAN_XA_GUONG -> NHIEU_XA,1.4477850527327973e-06,-5.929587132413872e-07,1.5645068215017123e-06,-22.272174702652514,-116.11245077839547,0.8454813382741122,253.46892859432558,0.5119172499234992,89.999995674289,-10.984579161913075,89.999995674289,-155.72954251034133,0.0
21,PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN -> PHAN_XA_GUONG,2.0994204987800913e-06,9.828091833696817e-07,2.3180768584354203e-06,25.085871006758865,-112.69744337227138,0.5038991162109596,151.06515463291123,0.1703350278603466,83.32393655308675,-156.11094027359485,95.90172990966524,-160.30035974442723,0.0
22,PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,-1.0225448932033032e-06,-1.8284870861862146e-07,1.0387645107817518e-06,-169.86167731550466,-119.669657927773,0.44523548581310024,133.47824068073345,0.11167139746248722,92.81736674464922,-73.95263014388412,91.23291995155716,-163.11740296570727,0.0
23,PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN -> PHAN_XA_GUONG,6.207146725500934e-07,2.338860980444224e-07,6.63316976699236e-07,20.646474544339693,-123.56557774761158,0.4592955065163551,137.6933288468931,0.12573141816574207,92.81736674464922,-73.95263014388412,91.18143398559361,-156.24880081180237,0.0
24,PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,4.657478029912454e-07,-4.233222057337116e-07,6.293827975552135e-07,-42.26797092808759,-124.02170263007477,0.48632358584654867,145.79614318431084,0.15275949749593565,117.90930975512,-93.9762654316928,82.71191745250776,-162.12272251687833,0.0
25,PHAN_XA_GUONG -> PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,9.636672075430397e-06,4.122697646380402e-06,1.048151155954381e-05,23.16188904129042,-99.59152164736678,0.5658899908667081,169.64955131952797,0.23232590251609508,90.77068689947656,56.319106858000104,95.46976142579695,-147.2856665073997,0.0
26,KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA,-2.634706561366329e-06,-6.007762181070575e-07,2.702334311063271e-06,-167.15481230328126,-111.36521849141069,0.4241250906034111,127.14950341146931,0.09056100225279806,90.00000933466734,17.56314330912891,90.00002299504568,104.5412976625169,0.0
27,KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA -> PHAN_XA_GUONG,-7.550365239694656e-07,-1.8536626384957344e-06,2.0015357428441946e-06,-112.16212099752657,-113.97273299969714,0.44523389419737214,133.47776352634213,0.11166980584675912,90.00000933466734,17.56314330912891,90.00002299504568,101.98182770502719,0.0
28,NHIEU_XA -> PHAN_XA_GUONG -> PHAN_XA_GUONG,-3.428888703638222e-06,2.9450802685460076e-06,4.520041540751239e-06,139.34064383755734,-106.8971514770638,0.46085068561296794,138.1595598108969,0.12728659726235492,91.65908277463095,76.25533963009471,91.65905545387426,-140.8578028002574,0.0
29,KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN,-1.8182399799115956e-06,5.039754796598572e-06,5.357716401078657e-06,109.83840209997717,-105.42040557083205,0.3469091893748555,104.00075858547541,0.013345101024242467,93.89366112387066,-25.373775398645726,91.53730050172962,-170.2728320836177,0.0
30,PHAN_XA_KHUECH_TAN,8.184086254914291e-06,0.0,8.184086254914291e-06,0.0,-101.74059604184191,0.3765062501770444,112.87373419293908,0.0429421618264314,91.34378075197564,-14.457268463321936,94.15068797252741,-129.32892159451777,0.0
31,PHAN_XA_KHUECH_TAN,1.3639708413393237e-05,0.0,1.3639708413393237e-05,0.0,-97.30389827659357,0.3348861810081871,100.39635135467734,0.0013220926575741032,91.41828445544215,-2.0581981054342413,95.85077669845694,-171.43941473347752,0.0
32,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN,-2.954214437522751e-07,2.0758245682372944e-06,2.096740677224112e-06,98.09967152261018,-113.56910558635195,0.4855786528423778,145.57281788794512,0.15201456449176476,57.667485237903584,9.264197542867163e-06,24.747464127228483,179.99997768819966,0.0
33,PHAN_XA_KHUECH_TAN,3.517714958434226e-06,0.0,3.517714958434226e-06,0.0,-109.07478708946681,0.45281299776434025,135.74992161412007,0.11924890941372723,84.09063211760986,-84.64352227054405,88.08059640429953,-161.19668546920798,0.0
34,PHAN_XA_GUONG -> KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA,1.5315971495510894e-06,-2.0457124264794402e-05,2.0514378445708582e-05,-85.71833080306689,-93.75883273912613,0.39927553530105797,119.69979414716994,0.06571144695044495,91.0245035592234,172.65009308461896,104.76726081082843,179.32794171538376,0.0
35,PHAN_XA_KHUECH_TAN,9.182622875414381e-07,0.0,9.182622875414381e-07,0.0,-120.74066503039688,0.4778717084263917,143.26233407780728,0.1443076200757787,93.49451852915345,-99.86881306263535,91.03492642789683,-163.01135744865365,0.0
36,PHAN_XA_KHUECH_TAN,1.8586384840091341e-06,0.0,1.8586384840091341e-06,0.0,-114.61610149631133,0.3392252381217986,101.69716795216931,0.005661149771185592,93.50600007714824,-14.884319210987814,91.65972481241293,-173.0162731864017,0.0
37,KHUC_XA_TRUYEN_XUYEN -> PHAN_XA_GUONG -> NHIEU_XA,-2.546040889228607e-07,2.939327714557294e-06,2.950333990527317e-06,94.95059435504814,-110.6025763446228,0.5147209094502614,154.3094466280893,0.18115682109964837,89.99998884409983,-68.76411792201895,89.999995674289,-155.72954251034133,0.0
38,PHAN_XA_KHUECH_TAN,8.352740223926958e-07,0.0,8.352740223926958e-07,0.0,-121.56342050493544,0.4906802359982976,147.1022340419497,0.15711614764768456,93.73565152761158,-115.19485597517354,90.98165095237074,-166.22287141525862,0.0
39,PHAN_XA_GUONG -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,2.3060012608766556e-05,6.165753438835964e-05,6.582868469267955e-05,69.49412596309989,-83.63169644712335,0.3983514034189284,119.42274637871014,0.06478731506831537,90.00000250447816,172.65148644320965,90.00000250447816,179.3486371885689,0.0
40,PHAN_XA_KHUECH_TAN,1.0107287380378693e-05,0.0,1.0107287380378693e-05,0.0,-99.90730771667926,0.3527702006067557,105.75784554905238,0.01920611225614266,84.97707455866161,-20.839188903012165,86.01573459555628,-163.6254870776862,0.0
41,PHAN_XA_KHUECH_TAN -> PHAN_XA_GUONG,-4.040229214297142e-06,-1.1290558177279308e-06,4.195023139817633e-06,-164.38679836151582,-107.5453127850613,0.3541451292221609,106.17003877823925,0.020581040871547884,84.97707455866161,-20.839188903012165,97.8379860865263,-163.62421666250057,0.0
42,PHAN_XA_KHUECH_TAN,8.928676038522099e-07,0.0,8.928676038522099e-07,0.0,-120.98425868738529,0.4495412326832593,134.76907111846424,0.11597714433264628,94.32155198480444,-100.9868330674964,91.0562092973506,-166.1076734447172,0.0
43,PHAN_XA_KHUECH_TAN,3.2216651106864447e-06,0.0,3.2216651106864447e-06,0.0,-109.83839212215895,0.4741455938983563,142.14527304465804,0.1405815055477433,85.35659401989338,-96.35161397972647,88.58006081754587,-162.3457828347926,0.0
44,PHAN_XA_KHUECH_TAN,8.519178322785592e-07,0.0,8.519178322785592e-07,0.0,-121.39204582083667,0.4562720619105676,136.78692295689723,0.12270797355995455,94.44222776706023,-108.6498545237655,91.03000186150526,-167.29945949261437,0.0
45,PHAN_XA_KHUECH_TAN,1.1240410913160304e-06,0.0,1.1240410913160304e-06,0.0,-118.98435624143148,0.3901597551703162,116.9669520151873,0.05659566681970318,94.54568464241841,-63.789622847606964,91.2470789337066,-165.75347349473867,0.0
46,PHAN_XA_KHUECH_TAN,1.1466997875686502e-06,0.0,1.1466997875686502e-06,0.0,-118.81100535894119,0.37285411735865637,111.77885231837206,0.03929002900804335,94.93665833088828,-54.31760188399791,91.29221282374205,-167.73219295766972,0.0
47,PHAN_XA_KHUECH_TAN,9.492123922427709e-07,0.0,9.492123922427709e-07,0.0,-120.45273201154819,0.4066448582307203,121.90906158204916,0.07308076988010725,95.10346521079833,-82.04275015914327,91.15014488900579,-167.10811857320564,0.0
